title,upvote
NYU vs Columbia vs Baruch Masters,2
"Studying Abroad, and Working at Home",7
Is the GRE Worth It?,8
How to learn R for free?,42
Scientists are sounding the alarm that ideology is undermining merit in the sciences. A very important article--IOs should take notice.,11
grad cap ideas?,2
Leader Influence Course,0
Academics: think about the best grad-student you’ve ever had or worked with. What made them so great?,14
Advice regarding Masters in OD vs HRM,2
completed masters in I/O looking for courses,1
Performance Review Software?,6
Informational book recommendations,5
Research regarding job applicants being too experienced?,12
Transitioning from clinical psychology to I/O,7
Recruiter a good first job?,5
How competitive is getting into a masters programs for I/O psych?,7
I met some practitioners at the conference and they had an assessment tool for practice that measured something specific that interested me. Would it be rude to ask about taking the assessment at a discount or even for free just to see how it works?,5
Help! I suck at Facilitations/Workshops!,8
SEM Help,5
Sustained interest and actions post Behavioural assessments,3
skills-ml,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
Jobs outside of corporate or general career advice?,12
How serious is the researcher and practitioners gap is?,14
Please help me answer this question,0
Compassion as a Daily Practice -- leadership skills,0
Factor analysis vs. network analysis,6
Advice,5
Good jobs for IO graduate students?,9
Seeking open source syllabus for intro IO psych class,6
Conclusions from Landers et al. 2023,23
Management of Dependent Personality Disorder in the Workplace,3
Should I go to Academy of Management Conference?,7
Online Bachelors Programs,4
Transfer master credits in PHD program,9
Examples of personality “tests” used in selection?,2
I got passed over for a job because I stated in the future I would like to have a different job at the same place,8
Thoughts on working in the cannabis industry as an HRBP & career advice,9
Career advice,3
Defining I/O psychology to the general public,9
SIOP 2023,18
Interview questions or group interviews,1
job prospects in canada and germany,1
Question about calling yourself a “psychologist “,8
I/0 QUESTION???,0
Compensation Research in IO Psychology,9
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Does It Matter If It's An Online Degree or Not?,12
SIOP without a masters,15
SIOP Conference - Activation Code?,1
Informed Consent for Job Applicants?,2
Talent review,0
Thinking of pursuing my MS in I/O- advice?,14
How to explain the purpose of an IQ test without calling it an IQ test?,9
What are the books/journal articles/literature that you live by as a researcher/practitioner in I/O Psychology?,15
IO or HRM masters?,13
General I/OP career advice,6
RMPA Presentations?,3
Can you make $100k without a master's? Can you become a consultant without a master's?,21
The DSM of I-O Psychology,24
Does rem experience transfer well/ if at all - to OD roles?,1
Harvard Business Review,19
Journal recommendations,3
Is mission alignment considered job relevant?,1
Just finished my Master's IO Psych and am looking for advice,13
Concern over not committing to an original thesis idea,10
Job analysis question for practitioners,10
Question on Hertzberg's Two Factor Theory,5
Career with chronic illness?,9
What do applicants dislike about selection procedures?,8
How do you feel about McKinsey’s Imbellus game?,1
Gordon Ramsey inspired me to go into IO Psychology,41
Good to see some more light shined on PA outside of the I/O space. Thoughts on this description?,23
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Career Path Advice,6
Internship Advice,1
Tools for auditing company culture?,5
Interesting New TIP Article: I-O and HR: Does HR Know About Us? (***Spoilers**** Nope),23
Mentoring Communities,5
What is the research design for this?,4
Possible to break into the field (again)?,8
Do Internships in Different Countries Matter?,3
"What explains recent tech layoffs, and why should we be worried?",8
Occupational stress index,4
Why am I so unproductive at my desk but not other areas?,9
SIOP Conference: Has anyone gotten HRCI credits approved?,1
How to get research experience,8
Is there research around the benefits/drawbacks of keeping self-evalutions but removing the quantitative component for performance reviews?,13
How to improve organizational culture?,5
Scale for Seeking Relationships at Work,3
Question on starting/teaching an I-O course at a community college.,11
Looking for your: Recommended Resources and Career Guidance,8
Anyone excited to go to SIOP?,18
Is masters in general psychology enough or is IO masters essential?,15
The psychology of layoffs,22
I/O Career help.,8
"Baby Boomers Are More Sensitive Than Millennials, According To The Largest-Ever Study On Narcissism -",20
Is it possible to go from a masters in I/O to Clinical psychology?,4
Announcing the Beth E. Buchanan Graduate Student Scholarship Fund,40
Job path,5
Interesting discussion of I-O Psychology field and in its tensions in 2013. How similar does this feel to you?,4
Moral emotions in I/O Psych from an evolutionary perspective?,1
IO- and Neuropsychology topics,10
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
Gender-biased language decoder,4
Open Source Tableau,3
Starting salary with a masters in I/O?,25
Spurious correlation exercise,10
Job board specifically for I/O Psychology,26
Is there a list for I/O programs in California,5
Research on drinking culture at work?,14
Job analysis,2
Writing sample topics,4
"AMA Tara Behrend, SIOP President-Elect, future of work researcher, professor at Purdue!",72
Most research active organizations?,14
What are your unpopular IO Psych opinions?,60
How to choose an assessment for a hiring process?,6
Help with Dissertation!,1
I/O Podcast,26
How do you find companies to work for outside of job boards like LinkedIn/Indeed?,20
What to do next.,5
IO Psychology Careers Job Security,8
LGBTQ+ Researching Scholars,11
Undergrad advice!,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
ChatGPT on how to use ChatGPT for HR,13
Virtual SIOP Conference vs in-person,10
"Does io psych talk about why professional world words can sound extremely formal, maybe royal? for example interviews are often not done ""done"" but ""given"" or ""offered""?",7
Ethical leadership in workplace settings can cause narcissists to become angry and withdraw: Study finds that anger is the mediator between those with narcissistic personality traits experiencing ethical leadership and their subsequent withdrawal.,23
"Looking to make a Lateral move from non-profit Child welfare education/mental health based programs as a Supervisor, into Data analytics type role",6
could artificial intelligence replace IO psychology in the future (2-3 decades),15
Are SHRM or HRCI certs valued in the I/O field?,13
What was your most memorable and/or favorite gradschool experience?,3
Topics that Don’t Have Enough Research,11
ChatGPT on what we would be a good name for our field.,46
Online Courses (ie. Coursera),8
ChatGPT has become an IO psychologist,105
Best practices,1
"Announcing upcoming AMA March 15h-16-17th at noon Tara Behrend, President-Elect of SIOP, future of work expert, and professor at Purdue!",35
Do career interest surveys actually do anything?,3
How to break into the I/O field?,8
Volunteer or gig I/O work?,9
How to evaluate the effectiveness of an innovative idea before implementing it?,5
IO Psychology Transition Advice Needed!!!!,5
Research and Discussion of Perceptions on Applicant Assessment,4
What is your professional opinion in thebusage of this question and your knowledge of this general approach to candidate screening?,7
Conferences other than the annual SIOP conference?,6
what are you doing for your continuous listening strategy?,6
How to start my career in IO?,12
SIOP registration transfer,13
Hogan Certification worth it?,5
Four-day week: ‘major breakthrough’ as most UK firms in trial extend changes,22
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Conferences?,6
Psych->corporate,9
Undergraduate wondering if I should transfer schools,1
Struggling between I/O psychology and School Psychology?,1
Systems Theory Resources,9
Experiences from People Analytics,15
What are the top or most prestigious I/O psych schools?,13
Neurodivergent Selection,11
Work & Organisational Behaviour Research - Request for Survey Participants (Work Ability & Presenteeism),6
IO Icebreaker activity,2
Value of an education in IO psych,4
"Professionals in Consulting, how did you start your career, where are you now, and where are your next career steps?",33
Looking to talk with someone who does Executive Coaching for their career. I'd like to learn more about your day to day life and see if this is a good path for me to take. Thank you so much.,7
should I go for a UX research bootcamp,2
Graduating with a Major in Psychology and Minor in Business. How should I proceed post-grad?,9
Lab equipment - recommendations,4
what do you do with your assessment data on leaders?,3
SIOP Conference question: Does anyone have an extra room at the Sheraton?,3
internships / organizations,1
Best measure of social support?,5
"Crosspost: Someone asked a question about the validity of MBTI, by the time I set up this submission, it was locked and removed",13
Will sales job help me get a job in industrial psychology?,0
Power BI or Tableau?,3
Neurodiversity within I/O,20
IO Psychology and CSR,8
Corrective plans for low performing account managers,5
"R users, why not python?",9
Do you need to know about IO psych before you register to a master degree of IO PSY?,6
First SIOP Acceptance: What to do,14
Stats in the industry,11
My job not only wants me to create a training which no needs analysis was done for but also wants me to just come up with a quiz for the end of it,23
Going Insane Waiting to Hear Back About Graduate School...,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
How long after you received your graduate degree did you land a master’s level job?,9
Which bachelors degree would be most beneficial,4
be honest: what exactly do you people do? 😭,1
2022 SIOP REPORT ?,5
Research on food service industry?,1
Careers similar to I-O psych that use more statistics and data science aspects,9
Should I get a Design Thinking Certification?,4
Experience with the OCAI assessment?,4
I/O Psych with speciality in cybersecurity?,1
Engagement vs. Experience,12
Take more IO Pysch classes without being enrolled in a degree program?,4
How to get into Consulting (Human Capital and Organizational Development),27
"Another week, hopefully those applying are hearing back!",10
IO Discord link PLS,4
Employee-focused careers in I/O,7
Limitations of Open Science in Field Research,5
How will ChatGPT hurt our field? How will it help it?,22
Proper pronunciation of SME,0
How to create a relationship map?,2
What is the best text?,12
Future of continuous listening?,8
Impact of Transactional Analysis (TA) in the workplace,2
A guide for People Analytics?,21
"America, we have a problem. People aren't feeling engaged with their work",22
Question about questions,5
is it hard for a foreigner to find i/o jobs in the us?,5
Design and Analysis of Experiments-10th edition,1
How to assess the responses to behavioral interview questions?,14
“AI Based” Assessments,11
Measuring org wellbeing,1
What are possible jobs to work before pursuing a masters?,9
Masters in Psychology after MBA Finance,1
Should I pursue I/O psychology if I wish to get a master's abroad and work in that same country abroad?,7
Employee creativity as way to deal with crises at work: The case of covid-19,1
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
How can I learn more about developing questionnaire items?,8
Transition to people analytics role but lack IO background,6
Reporting / BI Analyst Salary,4
IO Consulting firms profit and experience,7
"Class of 2023, has anyone heard back from any graduate programs yet?",9
How are we to create any good change when this is how people feel,48
Would I be happy as an IO psychologist?,12
Education requirements,7
Are You Quiet Quitting? Personal Finance Expert Highlights Risks of Doing the 'Bare Minimum' at Work,0
"Upon graduation with a masters level degree in IO, would I be doing myself a disservice applying to a small company?",9
"Vox article: ""Job interviews are a nightmare — and only getting worse""",24
career help,5
Post-Grad school options of I/O,7
"I really pissed off people at /r/recruiting by saying experience is not predictive of performance. Since they won't explain why, can someone here?",38
Aspiring I-O Psychologist!,1
You’re an I/O psychologist on a quest to save the world.,22
Really struggling with my SoP,3
job change,8
Trying to write a narrative review paper but I am struggling,2
What skills can I add to become more employable?,23
Leadership Development Certifications,3
Potential Internship opportunities,8
Need help with the right approach for measuring employee's motivation (+ does anyone have the MWMS scale scoring?),7
Data informing workforce strategy and planning,4
"good warm up, or refresher in the work of IO psychology",2
Attrition analysis,11
Recent I/O Masters Grad with no experience,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
"Just for funsies, do you prefer I/O Psychology or I-O Psychology",17
What can I be doing to improve my skillset during my free time?,14
How do you pitch your ideas?,3
Getting I/O or business/organizational behavior doctorate degree ?,1
People Development,14
Should I major in psychology at the University of Minnesota or would it be better to go to the business school (Carlson school of management) and go for human resources and industrial relations major?,9
Soft Social Credit Score,10
Database of work sample tests?,4
Time-to-Event Analysis Aversion,10
Scope for IO Psychology outside the USA ( majorly Australia and India),1
Would online Coursera courses fulfill grad school prerequisite?,4
Yay! Pop culture is finally listening to what we’ve been saying for decades!,108
Low GRE score. What are my chances?,7
We are all playing for the same team right?,14
Book recommendations?,9
Has anyone here transitioned from more traditional IO Psych work to UX Research?,26
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
Work-life Integration - question regarding my degree thesis,7
How do you get your value proposition in layman’s terms? I always hit a wall trying to explain what I do in a compelling manner without boring or confusing people.,15
did anyone not get SIOP feedback?,2
SIOP Conference Decisions?,6
How to remove careless responding from reverse scored survey,5
Is our field dying? I feel like any Joe Blogs gets roles in fields IO psychs are working in. What do you think?,17
Message to IO Students: Don't let imposter syndrome discourage you,52
Survey crowdsourcing,3
What are some interesting topics you think should be researched nowadays in the IOPsychology field?,21
What type of internship would you recommend?,13
How has a Ph.D in IO made a difference in your career compared to your Master’s?,30
Alternatives to MTurk,7
What global job evaluation methodology do you rate as the most practical and effective?,8
Introductory books to IO Psychology / Podcast recommendations,15
Feeling a bit lost.. (CA),18
People Analytics / HR data analytics question,21
What do you read for fun?,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
How can I learn to do job analysis (beyond simply re-reading my IO Psych textbook)?,15
NEED SOME ADVICE <3,2
Any recommendations for good certification courses for some with 3-5 years experience?,8
Need inspiration for ad-hoc data projects,7
A New ScienceForWork Article & Audio Episode (See Link),4
Research into IO Psych,7
IO Psych advice for undergrad,10
"Where could I find some I/O firms from South America, and Asia?",11
Does anyone also have HR certifications?,9
What are the dream positions or organizations in this field?,5
What internship would you go for as an undergrad?,8
How is IO Psychology,12
"Good, Bad, and Ugly Leadership Patterns: Implications for Followers’ Work-Related and Context-Free Outcomes (Journal of Management, 2021)",11
Looking for HELP/Suggestions on Personnel Selection,1
Starting Salary of occupational/ I-O psychologist in UK,4
Help me design a silly experiment for fun,6
HR Data Analytics / People Analytics Certifications?,21
Employee Experience Management,8
What are you working on? - December 2022,8
Providing interview questions to applicants prior to the interview.,8
"Recommendations on a measure/scale to get a sense of how people are feeling prior to a big structural change? I intend to run it a few times this year to keep a pulse on things. JAWS, JDI and JIG are options but there may be something more appropriate that I’m not aware of?",14
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
What factors should I be looking for in a college to be successful in the future for IO Psychology? What does a linear path look like?,18
Looking for an I-O Psychologist for a Graduate Paper interview,1
Thoughts on the Lumina Spark for Leadership Development,4
What are the most valid personality tests for recruitment?,17
"May I please have recommendations for a layperson guide to personality disorders in the workplace, preferably from DSM5+?",0
Any org psychs in MBB consulting?,4
"A leaked Amazon memo may help explain why the tech giant is pushing (read: ""forcing"") out so many recruiters. Amazon has quietly been developing AI software to screen job applicants.",18
"Realistically, What Are My Grad School Chances?",9
Walmart shooting raises need for violence prevention at work,38
"The Effects of UPcomplish on Office Workers’ Sedentary Behaviour, Quality of Life and Psychosocial Determinants: A Stepped-Wedge Design (International Journal of Behavioral Medicine, 2022)",5
Best way to measure how something affects Job Satisfaction?,5
20 years experience in corporate leadership training has taught me that 95% of it is a massive waste of money!,63
Most Recent SIOP Income and Employment Survey,40
"Interpretation of Hogan Assessment Results (HPI, HDS)",2
Is there any scientific proof that personality and cognitive tests work for recruitment?,25
Marrying 20 years in tech to IO,12
Please Share Your Newly Published Articles,2
What kind of person goes into IO?,40
Any research on what factors affect the validity of assessment methods?,5
What made you decide I/O,18
I/O topics with small moral components?,2
"Hi, does anyone know whether the recovery experiences scale is free to use for research purposes? Does it require permission from the authors?",7
Looking for a website that had almost all the papers for surveys,1
what does a day in the life as an io psychologist look like?,15
How would you approach translating survey items and academic material into multiple languages? How can you ensure consistency of meaning etc?,6
Taking 4-5 years to do part time masters in US. Concerned about knowledge retention.,18
What do you regard as essential readings on change and resilience?,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
Keywords to look for when looking for an internship?,2
Unconcious bias,4
Any readings about the math and statistics behind classical test theory?,10
Is there a list of tests for various traits,2
What ethical problems have you encountered in your career?,22
Elon Musk scraps Twitter’s work from home policy,50
Best online master's program for I/O psychology?,2
Where can I find sample social network analysis data sets?,3
competency model developed with company values,7
Any tips on taking the SHRM certification?,8
are you content with your io degree?,31
"PhD and working full time? Good or bad idea? Hi I’m considering doing both, hopefully trying to match both (ie research topic being relevant to the org and myself). Have people done it? The potential PhD supervisor seems okay in terms of time expectations on the work.",6
Best book on qualitative research method,12
Job opportunities,2
cut-off scores,2
German IO Job names,7
Idea for a bachelor thesis,1
"Under new WHS laws, Australian employers will have an active duty to protect workers from psychological injury",24
Curious if anyone would be willing to share how they structure their select assessments function in their company,6
Questions about the field from an undergrad,3
Second-year Canadian university student with questions about research and career paths.,5
What job analysis methodology do you recommend? I want to strengthen a selection process for a high risk role but want to look deeper into the reality of the role. Any references welcome.,10
I/O psychology vs Buisness analyst,8
"graduating in the spring w/ master’s degree; when do I start applying, where are the best cities for IO psychs?",13
How much do I have to like the I side to realistically enjoy working in IO? Am I considering IO for the right reasons?,22
"Help, please recommend short courses or books one can refer to up-skill themselves in the field of IOBP?",3
"Hello, how can a fresh graduate go about finding jobs in this field in London/UK market?",3
"Finally, some “me time”: A new theoretical perspective on the benefits of commuting",8
Are there companies which most IO Psychologists strive to work in?,21
What are you working on? - November 2022,7
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",1
"Interesting, startup meets corporate",31
Psych Major wanting to get into hr [resume question],12
"Free virtual conference for undergraduate students interested in obtaining a PhD in I/O, hosted by SIOP on Nov. 7th and 8th. Save the date!",24
Seeking employment in mid-career.,13
Ever Thought About Strikes? Development of a Scale to Assess Attitudes and Behavioral Reactions to Strikes,6
MS thesis on POPs and Knowledge Hiding in Higher ed Faculty,1
IO Psychology Articles that Everyone Should Read,44
Organizational Behavior vs I-O Psychology differences,6
OD Consultants: how do you put your experience on your resume?,10
Qualitative network analysis?,4
Beginner Resources for Network Psychometrics?,3
Recommendations?: Where to start an I/O Psych career?,6
Prepping for Masters in IO Psychology,5
[OC] I/O Psychology Salary Before and After Adjustment for Cost Of Living by State,60
Is this a good job offer?,14
How hard is it to learn Tableau?,5
Interview request - job shadow,10
I/O & Performance Psych,9
Amazon’s attrition costs $8 billion annually according to leaked documents. And it gets worse.,40
burnout studies in organizations,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Example of Job Analyses?,3
Reliability and validity,13
Do I/O Psych PhD programs suck your lifeblood?,25
Certificate in IO Psych vs. MA in IO Psych,5
Licensing,4
Engineering to IOP,2
"Experience using RevMan, Covidence or other software for a meta-analysis",5
Is it better to send corporate survey before Christmas or after New Year's?,6
IO psychology masters personal statement,14
"Currently a clinical Psych RA, contemplating shifting to an I/O career…what relevant experience do I need to apply to programs?",16
Consumer behaviour,1
Trying to get HR internship here with no experience. HELP!,16
psych studies published in non-psych journals,1
my predictive index results,6
Working in a corporation? career?,5
What burns you out in this field?,33
Who are some of the biggest unconventional team / leadership development consulting firms?,13
Team exercises?,10
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
SIOP Conference too expensive?,14
What is the impact of forcing employees to commute back to work after working from home?,69
What/why do proposals get rejected from SIOP Annual Conference? What typically gets accepted?,6
"If someone said ""the way we work has not changed much since the industrial era"" what kind of data or proof would you identify to reinforce that?",3
How do you define personality?,3
Trying to find access to an article,8
IO resume question,6
What are you working on? - October 2022,3
From Finance into Psychology/Life Coaching,3
What is the highest paying jobs in IO Psychology?,25
Would appreciate advice.,2
Strategies on organizing citations,3
Looking for participants for my graduate capstone project,2
Masters in IO but no prior experience,1
Practitioner Conferences?,8
"Undergrad looking for internships, is HR my only realistic internship?",13
"As the economy heads into a potential recession, executives seek out consultants and organizational psychologists to reverse the trend.",9
The presentation(s) I most hope to see at SIOP23...,3
The absence of complaints is one of the surest sign of failing leadership,20
"""Orderliness is associated with slightly lower achievement."" Is this accurate?",0
"Is the personality trait ""Achievement-Striving"" the same as being ""Status-Seeking"" or are these different concepts?",1
Prominent Italians in I/O?,1
How to Generate data from rasch model in R ?,1
What are your thoughts and experiences regarding peer appraisal?,5
How often do you encounter BCBAs in this line of work?,1
"People with political skill are more likely to end up in leadership positions, but are people with political skill better leaders?",12
Where to sell old text books?,2
How to foster psychological safety at work?,6
Interview Request - Job Shadow,8
"Examples of work injustice, CWBs in tv shows, movies?",4
Case study resources?,7
What Is a Performance Management Cycle?,2
How to stop psychopaths and narcissists from winning positions of power?,0
"What do you think about Schein's books Humble Leadership, Humble Inquiry, Humble Consulting and his other books?",1
How often should you do team events?,1
Have you ever done a post-exit interviews?,4
Is IO Psychology for me?,9
OCCUPATIONAL HEALTH TOPIC + CAREER PATH,3
Literature Search/Sources,3
What are the best books about Machine Learning driven organizations?,9
Book recommendations for getting into change consulting practice,8
How do you define belongingness?,10
"Is it always true, that you shouldn't give people bonuses based on performance, because extrinsic motivation kills intrinsic motivation? What about job titles or other reputation symbols as rewards?",20
There is the saying that you can’t improve what you don’t measure. So how do you quantify employee performance?,8
MBTI vs Enneagram,0
Data driven organizations,46
What of note has been going on recently in business consulting and change management?,8
Leadership Development Benchmarking,4
The linkage between cognitive diversity and team innovation: Exploring the roles of team humor styles and team emotional intelligence via the conservation of resources theory,4
Counter argument,8
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
Are there any free/affordable online learning resources for IO?,14
Why Warmth Is the Underappreciated Skill Leaders Need,2
Employee Assistance Programs - How can we improve them?,1
Personality assessment tools used while recruiting,3
A Brigham Young University study of 80 newly formed teams found that groups that played video games together for just 45 minutes were 20 percent more productive than those that engaged in more traditional team-building exercises.,75
Need advice on purchasing a index for use in a study,2
"A Massive LinkedIn Study Reveals Who Actually Helps You Get That Job - Acquaintances, more than close friends, show the strength of “weak ties” when it comes to employment",54
I/O psychology mentor - Talent management,8
Been having trouble finding a job right after getting my Masters,22
Predictive Index?,9
"What do you think about having two teams in your company with exactly the same tasks, and having them be rivals to each other?",10
Am I low-balling myself?,17
What can we learn from recruitment?,10
The war for talent - is it still a thing in 2022/2023?,6
Courses to supplement unrelated bachelors,2
Not sure how to continue learning I/O psych during undergrad,2
People who got their masters in IO with a BA in psych: What was your minor?,19
"E-leadership prevalence in post-pandemic workplace, thoughts?",4
Does anyone know of any books (academic or other) that do a good job highlighting the engagement research that has been and is coming out of social media?,3
Virtual interview nightmares,2
"Hi everyone, is anyone familiar with a predictive framework that uses customer a type of psychological profile of a customer to predict how a customer/client will value your business?",3
Scales of measurement,7
What do you think are the challenges that I/O psychologists are currently facing?,22
Is IO Psych inherently anti-labor? Why or why not?,28
Do you think it makes more sense to study combinations of Big 5 traits rather than individual traits?,2
Social Platform for Organizational Scholars Interested in Disability-Related Topics,2
Research has found that you are more convincing when you phrase your opinions in form of a story rather than just stating facts or referencing scientific papers. How can I learn to communicate more in stories?,13
Literature review topic on disabilities,7
I have an interview as a Talent Assessment Consultant and was hoping for some pointers.,25
Is it normal to have large differences between subtraits?,0
Mentioning company names in personal statement for Masters?,6
What are the most common I-side applied roles?,8
"Does someone with a more competitive personality or a more cooperative personality have more success when leading a business, when all other traits are equal?",2
Survey platform for independent contractor use?,9
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
Any resources for tree models in psychometrics?,3
What are some survey question's to check whether employees are in the right place and are doing the right and most efficient work?,4
Do I/O Master's programs typically require you to be employed to do certain assignments/projects?,8
Best Journals in the Field,19
"Well, that's discouraging.",59
Research paper topic ideas,13
What keywords can I use to look for entry-level jobs in psychoanalytics,18
Recently laid off and looking for community help,19
What is the latest in IO Psych? How do you keep yourself up to date with the latest research and news?,29
Looking for research on retirement,7
What are you working on? - September 2022,5
Consulting billing?,35
Study Design - Retrospective Standardized Testing and Employment Outcomes,5
What's your vision/strategy and outcomes of learning & development in your company?,2
Link between DEI/wellbeing and Recruitment?,1
Interested in I/O. Coming from sales. Long shot? Need advice.,19
What are good primers on industrial/organizational Psychology?,9
Advice for the statistical portion of I/O Psych,14
looking for a job.,10
Just a quick question from some considering going into I/O psychology,7
Are we ever going to be able to change this?,36
What's your personal shortlist of companies that you'd like to work for? What makes them interesting to you?,22
"Currently in undergrad, I need answers about I-O.",6
Python and R courses online,23
Racial barriers to MSP world.,2
Assessment Strategy,6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Textbook help,9
Looking for advice on how to organize L&D in tech product company,7
Has anyone ever worked for a company where they actually did job analyses? (During or before you practiced I/O),16
Difficulty of Master's Program?,10
Looking for research on differences in requirements (KSAOs) by job clusters / job families,3
what do IO psychologist do?,6
Working from Home,18
MS in IO? Need Advice,7
Companies that pay for your program,2
Tips to get into People Analytics role,18
The Rise of the Worker Productivity Score - automated worker tracking for the purposes of performance management,31
Who are the leading academics/practitioners in the field that study/develop unobtrusive measures?,4
I/O Intern asking for advice and guidance!,8
IO psychology to the rescue!,46
Gift ideas for an IO Psychologist?,11
"For those in the IOP field - students, professionals, professors, etc",1
I-O to business analyst career path?,21
Is an I/O background useful for project management?,21
Pay Transparency Strategy,11
the logistical issue for completing a competency model across 50 job families with unique behaviors for each career level (20 total).,17
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",2
Any airlines that hire I/O Psychologists?,19
"I/Os on an island who eventually built your own team, how did you do it?",23
Interpretable machine learning models,4
Tips for breaking into people/talent analytics?,10
The Many Forms of Toxic Leadership Article,10
Knowledge diversity and hierarchy affect team effectiveness. Diverse teams function well only under the right leadership structure.,15
"Im at a loss on what to do for my future career in psychology, can ya'll give me some ideas?",5
Digital nomad and IO,8
5/6 months until I start applying for Masters - what do I do?,4
Undergrad research,9
What knowledge derived from the study of psychology is practical?,0
People Analytics?,29
Need a shorter assessment for employee works styles that can be used to facilitate team development,4
I am stuck in my career. Where do I go from here?,13
Can social impact programs amplify employee voice and create a positive DEI environment in the workplace? A webinar got me thinking.,5
I/O vs Business Psychology,9
Lack of psychological safety,7
